snapshot_date,prev_date,ID,change_type,old_value,new_value,delta
2026-06-05,2026-05-22,0010624,awarded,,2019-12-18,
2026-06-05,2026-05-22,0010633,awarded,,2018-12-26,
2026-06-05,2026-05-22,0010636,awarded,,2017-07-03,
2026-06-05,2026-05-22,0010638,awarded,,2019-12-31,
2026-06-05,2026-05-22,0010639,awarded,,2019-09-09,
2026-06-05,2026-05-22,0010643,awarded,,2018-09-18,
2026-06-05,2026-05-22,0010648,awarded,,2018-06-01,
2026-06-05,2026-05-22,0010649,awarded,,2018-10-25,
2026-06-05,2026-05-22,0010669,awarded,,2020-10-14,
2026-06-05,2026-05-22,0010671,awarded,,2018-06-05,
2026-06-05,2026-05-22,0010673,awarded,,2019-10-08,
2026-06-05,2026-05-22,0010676,awarded,,2021-01-13,
2026-06-05,2026-05-22,0010677,awarded,,2019-06-25,
2026-06-05,2026-05-22,0010678,awarded,,2020-06-09,
2026-06-05,2026-05-22,0010679,awarded,,2019-08-22,
2026-06-05,2026-05-22,0010688,awarded,,2019-09-09,
2026-06-05,2026-05-22,0010692,awarded,,2019-07-31,
2026-06-05,2026-05-22,0010698,awarded,,2019-08-22,
2026-06-05,2026-05-22,0010702,awarded,,2018-10-02,
2026-06-05,2026-05-22,0010705,awarded,,2019-12-04,
2026-06-05,2026-05-22,0010706,awarded,,2019-07-12,
2026-06-05,2026-05-22,0010711,awarded,,2018-12-26,
2026-06-05,2026-05-22,0010712,awarded,,2021-07-29,
2026-06-05,2026-05-22,0010715,awarded,,2018-03-13,
2026-06-05,2026-05-22,0010716,awarded,,2019-02-05,
2026-06-05,2026-05-22,0010719,awarded,,2018-03-02,
2026-06-05,2026-05-22,0010721,awarded,,2019-11-14,
2026-06-05,2026-05-22,0010724,awarded,,2020-11-02,
2026-06-05,2026-05-22,0010725,awarded,,2020-04-29,
2026-06-05,2026-05-22,0010731,awarded,,2019-09-03,
2026-06-05,2026-05-22,0010739,awarded,,2019-04-19,
2026-06-05,2026-05-22,0010768,awarded,,2019-02-14,
2026-06-05,2026-05-22,0010844,awarded,,2019-12-20,
2026-06-05,2026-05-22,0010926,awarded,,2018-11-30,
2026-06-05,2026-05-22,0010943,awarded,,2016-12-16,
2026-06-05,2026-05-22,0011372,awarded,,2021-12-31,
2026-06-05,2026-05-22,0011373,awarded,,2020-01-17,
